"","Species","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","Bodymass","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Diet.5Cat","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO"
"228","Campethera abingoni","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",67.52,0,0,0,50,50,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"229","Campethera cailliautii","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",41.1,0,0,0,0,20,80,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"230","Campethera caroli","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",44.15,0,0,0,0,80,20,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"231","Campethera nivosa","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",37.8,0,0,0,33,33,33,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"232","Campethera nubica","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",59.7,0,0,20,20,60,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"233","Camptostoma obsoletum","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",8.1,0,0,0,0,80,20,0,0,"Invertebrate",70,0,0,0,0,0,30,0,0,0
"234","Campylopterus hemileucurus","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",9.72,0,0,0,90,10,0,0,0,"FruiNect",10,0,0,0,0,0,0,90,0,0
"235","Campylopterus largipennis","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",8.3,0,0,0,40,60,0,0,0,"FruiNect",10,0,0,0,0,0,0,90,0,0
"236","Campylorhamphus falcularius","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",42.6,0,0,0,50,50,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"237","Campylorhamphus procurvoides","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",33.5,0,0,0,40,60,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"238","Campylorhamphus pusillus","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",40.5,0,0,0,40,60,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"239","Campylorhamphus trochilirostris","Passeriformes","Passeriformes","Dendrocolaptidae","Woodcreepers",40.8,0,0,0,80,20,0,0,0,"Invertebrate",90,0,0,0,10,0,0,0,0,0
"240","Campylorhynchus turdinus","Passeriformes","Passeriformes","Troglodytidae","Wrens",32.6,0,0,0,0,50,50,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"241","Campylorhynchus zonatus","Passeriformes","Passeriformes","Troglodytidae","Wrens",34.6,0,0,25,25,25,25,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"242","Capito auratus","Nonpasseriformes","Piciformes","Ramphastidae","Toucans and barbets",57.37,0,0,0,20,80,0,0,0,"FruiNect",20,0,0,0,0,0,80,0,0,0
"243","Caprimulgus fossii","Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",58.29,0,0,20,40,20,0,20,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"244","Caprimulgus parvulus","Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",37,0,0,0,60,40,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"245","Caprimulgus pectoralis","Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",51.43,0,0,30,50,20,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"246","Caprimulgus poliocephalus","Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",41.8,0,0,10,20,60,0,10,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"247","Caprimulgus sericocaudatus","Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",83,0,0,30,10,60,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"248","Caprimulgus tristigma","Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",79,0,0,0,30,30,20,20,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"249","Capsiempis flaveola","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",7.7,0,0,0,0,100,0,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"250","Cardinalis cardinalis","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",42.64,0,0,40,20,20,20,0,0,"PlantSeed",20,0,0,0,0,0,10,0,0,70
"251","Carduelis barbata","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",15.5,0,0,80,20,0,0,0,0,"PlantSeed",20,0,0,0,0,0,10,0,70,0
"252","Carduelis cannabina","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",19.53,0,0,60,20,20,0,0,0,"PlantSeed",20,0,0,0,0,0,20,0,60,0
"253","Carduelis carduelis","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",16,0,0,20,60,20,0,0,0,"PlantSeed",10,0,0,0,0,0,20,0,40,30
"254","Carduelis chloris","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",26,0,0,40,30,30,0,0,0,"PlantSeed",0,0,0,0,0,0,0,0,100,0
"255","Carduelis flammea","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",13,0,0,100,0,0,0,0,0,"PlantSeed",30,0,0,0,0,0,0,0,40,30
"256","Carduelis flavirostris","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",15.4,0,0,50,50,0,0,0,0,"PlantSeed",20,0,0,0,0,0,0,0,40,40
"257","Carduelis magellanica","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",13.6,0,0,33,33,33,0,0,0,"PlantSeed",10,0,0,0,0,0,0,0,30,60
"258","Carduelis olivacea","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",15.38,0,0,33,33,33,0,0,0,"PlantSeed",0,0,0,0,0,0,0,0,100,0
"259","Carduelis spinus","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",13.24,0,0,0,50,50,0,0,0,"PlantSeed",10,0,0,0,0,0,30,0,30,30
"260","Carduelis tristis","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",12.79,0,0,33,33,33,0,0,0,"PlantSeed",10,0,0,0,0,0,0,10,60,20
"261","Carduelis uropygialis","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",14,0,0,50,50,0,0,0,0,"PlantSeed",20,0,0,0,0,0,0,0,80,0
"262","Carpodacus erythrinus","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",23.97,0,0,50,50,0,0,0,0,"PlantSeed",10,0,0,0,0,0,20,10,30,30
"263","Carpodacus mexicanus","Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",21.4,0,0,33,33,33,0,0,0,"PlantSeed",10,0,0,0,0,0,30,0,30,30
"264","Caryothraustes canadensis","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",34.5,0,0,0,0,60,40,0,0,"FruiNect",20,0,0,0,0,0,80,0,0,0
"265","Caryothraustes poliogaster","Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",41.8,0,0,0,0,30,70,0,0,"FruiNect",20,0,0,0,0,0,80,0,0,0
"266","Casiornis fuscus","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",19.5,0,0,0,40,30,30,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"267","Casiornis rufus","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",24.8,0,0,0,40,30,30,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"268","Casmerodius albus","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",871.33,0,50,50,0,0,0,0,0,"VertFishScav",40,10,30,20,0,0,0,0,0,0
"269","Catamblyrhynchus diadema","Passeriformes","Passeriformes","Thraupidae","Tanagers",14.13,0,0,0,0,60,40,0,0,"Invertebrate",80,0,0,0,0,0,0,0,0,20
"270","Catamenia analis","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",12,0,0,80,10,10,0,0,0,"PlantSeed",0,0,0,0,0,0,0,0,100,0
"271","Catamenia homochroa","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",12.2,0,0,50,50,0,0,0,0,"PlantSeed",0,0,0,0,0,0,0,0,50,50
"272","Catharus aurantiirostris","Passeriformes","Passeriformes","Turdidae","Thrushes",29.8,0,0,80,20,0,0,0,0,"Omnivore",50,0,0,0,0,0,30,0,20,0
"273","Catharus frantzii","Passeriformes","Passeriformes","Turdidae","Thrushes",28.9,0,0,100,0,0,0,0,0,"Invertebrate",60,0,0,0,0,0,40,0,0,0
"274","Catharus fuscater","Passeriformes","Passeriformes","Turdidae","Thrushes",33.7,0,0,60,40,0,0,0,0,"Invertebrate",60,0,0,0,0,0,40,0,0,0
"275","Catharus fuscescens","Passeriformes","Passeriformes","Turdidae","Thrushes",31.9,0,0,100,0,0,0,0,0,"Omnivore",50,0,0,0,0,0,40,0,10,0
"276","Catharus guttatus","Passeriformes","Passeriformes","Turdidae","Thrushes",30.1,0,0,50,50,0,0,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"277","Catharus mexicanus","Passeriformes","Passeriformes","Turdidae","Thrushes",33,0,0,80,20,0,0,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"278","Catharus minimus","Passeriformes","Passeriformes","Turdidae","Thrushes",31.58,0,0,80,0,10,10,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"279","Catharus occidentalis","Passeriformes","Passeriformes","Turdidae","Thrushes",26.2,0,0,60,0,20,20,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"280","Catharus ustulatus","Passeriformes","Passeriformes","Turdidae","Thrushes",30.3,0,0,50,50,0,0,0,0,"Invertebrate",60,0,0,0,0,0,40,0,0,0
"281","Catherpes mexicanus","Passeriformes","Passeriformes","Troglodytidae","Wrens",11.97,0,0,100,0,0,0,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"282","Celeus castaneus","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",85.59,0,0,0,0,30,70,0,0,"Invertebrate",70,0,0,0,0,0,10,0,10,10
"283","Celeus elegans","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",134.97,0,0,0,50,50,0,0,0,"Invertebrate",80,0,0,0,0,0,20,0,0,0
"284","Celeus flavescens","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",139,0,0,20,30,50,0,0,0,"Invertebrate",70,0,0,0,0,0,30,0,0,0
"285","Celeus grammicus","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",73.44,0,0,0,0,80,20,0,0,"Omnivore",50,0,0,0,0,0,50,0,0,0
"286","Celeus undatus","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",64.5,0,0,0,0,20,80,0,0,"Invertebrate",80,0,0,0,0,0,0,0,20,0
"287","Centropus senegalensis","Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",169,0,0,100,0,0,0,0,0,"VertFishScav",40,30,30,0,0,0,0,0,0,0
"288","Centropus superciliosus","Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",148.45,0,0,50,30,20,0,0,0,"Omnivore",50,30,20,0,0,0,0,0,0,0
